Stream Trained,Job Role,Placement Number,Placement: Resource: Full Name,Operating Location Name,FDM Office,Start Date,End Date,Degree Classification,University of Study,Degree Subject
Application Support,Business Analysis,1373,First Name Surname 1373,Edinburgh,Manchester,12/08/2013,12/08/2015,2:1,University of Nottingham,Accounting and Finance
Application Support,Data Services,1374,First Name Surname 1374,Oxford Circus,Manchester,23/08/2012,23/08/2014,2:2,University of Glasgow,Psychology
Business Analysis,Support,1375,First Name Surname 1375,Newcastle,London,18/07/2012,18/07/2014,3,University of Salford,Mathematics
Data Analyst,Support,1376,First Name Surname 1376,Oxford Circus,Manchester,22/01/2013,22/01/2015,2:1,University of Leeds,Geography and Environmental Sciences
Application Support,Business Analysis,1377,First Name Surname 1377,Oxford Circus,Manchester,14/11/2012,14/11/2014,3,London Metropolitan University,Marketing
Development (Java),Consulting,1378,First Name Surname 1378,Leeds Centre,London,31/03/2013,31/03/2015,2:2,University of Portsmouth,Accounting and Finance
Application Support,Data Services,1379,First Name Surname 1379,Birmingham New Street,Manchester,26/06/2012,26/06/2014,1,University of Liverpool,Politics
Infrastructure,Business Analysis,1380,First Name Surname 1380,Edinburgh,London,12/06/2013,12/06/2015,2:2,University of Chester,Geography and Environmental Sciences
Development (.Net),Consulting,1381,First Name Surname 1381,Birmingham New Street,Manchester,21/11/2013,21/11/2015,3,University of Leicester,Mathematics
Data Analyst,Support,1382,First Name Surname 1382,Moorgate,London,29/06/2012,29/06/2014,2:2,University of York,Physics and Astronomy
Development (.Net),Testing,1383,First Name Surname 1383,Oxford Circus,London,09/04/2012,09/04/2014,3,Newcastle University ,Chemistry
Business Analysis,Testing,1384,First Name Surname 1384,Leeds Centre,Manchester,14/07/2013,14/07/2015,2:2,University of St Andrews,Economics
Testing,PMO,1385,First Name Surname 1385,Birmingham New Street,London,04/03/2013,04/03/2015,2:2,University of Leeds,Forensic Computing
Development (.Net),Business Intelligence,1386,First Name Surname 1386,Moorgate,London,15/03/2012,15/03/2014,1,University of Essex,Computer Science
Data Analyst,PMO,1387,First Name Surname 1387,Moorgate,Manchester,04/12/2013,04/12/2015,2:2,London School of Economics and Politics,Electrical and Electronic Engineering
Development (Java),Testing,1388,First Name Surname 1388,Leeds Centre,London,20/03/2013,20/03/2015,2:1,Bangor University,Accounting and Finance
PMO,PMO,1389,First Name Surname 1389,Edinburgh,London,26/09/2013,26/09/2015,1,University of Leeds,Economics
PMO,Consulting,1390,First Name Surname 1390,Newcastle,Manchester,20/08/2012,20/08/2014,3,University of Nottingham,Chemistry
Development (Java),Testing,1391,First Name Surname 1391,Edinburgh,Manchester,08/05/2013,08/05/2015,2:1,University of Leicester,Economics
Application Support,Infrastructure,1392,First Name Surname 1392,Leeds Centre,London,17/11/2013,17/11/2015,2:2,University of East Anglia,Politics
Data Analyst,Business Intelligence,1393,First Name Surname 1393,Newcastle,Manchester,26/11/2013,26/11/2015,2:1,University of Central Lancashire,Politics
Infrastructure,Infrastructure,1394,First Name Surname 1394,Moorgate,Manchester,20/02/2013,20/02/2015,3,Glasgow Caledonian University,Marketing
Business Analysis,Support,1395,First Name Surname 1395,Oxford Circus,London,04/11/2013,04/11/2015,2:1,Swansea University,Geography and Environmental Sciences
Development (.Net),Consulting,1396,First Name Surname 1396,Edinburgh,Manchester,06/11/2013,06/11/2015,2:2,University of Warwick,Aeronautical Engineering
Application Support,Infrastructure,1397,First Name Surname 1397,Newcastle,Manchester,14/07/2013,14/07/2015,2:2,Coventry University,Biological Sciences
Data Analyst,Support,1398,First Name Surname 1398,Newcastle,Manchester,25/06/2013,25/06/2015,2:1,University of Reading,Politics
Application Support,Business Analysis,1399,First Name Surname 1399,Moorgate,Manchester,22/09/2013,22/09/2015,2:2,University of Portsmouth,Physics and Astronomy
Business Analysis,Business Intelligence,1400,First Name Surname 1400,Leeds Centre,Manchester,22/11/2012,22/11/2014,2:1,University of Glasgow,Electrical and Electronic Engineering
Data Analyst,PMO,1401,First Name Surname 1401,Moorgate,London,17/10/2011,17/10/2013,3,University of Salford,Marketing
Development (Java),Business Intelligence,1402,First Name Surname 1402,Oxford Circus,London,03/09/2013,03/09/2015,2:1,University of Nottingham,Computer Science
Development (.Net),Consulting,1403,First Name Surname 1403,Birmingham New Street,Manchester,13/09/2012,13/09/2014,2:1,Loughbourgh University,Forensic Computing
Infrastructure,Consulting,1404,First Name Surname 1404,Moorgate,London,04/05/2012,04/05/2014,2:1,London School of Economics and Politics,Physics and Astronomy
Development (.Net),Testing,1405,First Name Surname 1405,Edinburgh,Manchester,02/09/2013,02/09/2015,3,Swansea University,Accounting and Finance
Infrastructure,PMO,1406,First Name Surname 1406,Oxford Circus,Manchester,31/07/2013,31/07/2015,2:2,Glasgow Caledonian University,Accounting and Finance
Business Analysis,Support,1407,First Name Surname 1407,Oxford Circus,Manchester,11/03/2012,11/03/2014,2:1,Newcastle University ,Mathematics
Development (.Net),Consulting,1408,First Name Surname 1408,Moorgate,Manchester,21/07/2012,21/07/2014,2:2,Nottingham Trent University,Mathematics
Development (.Net),Support,1409,First Name Surname 1409,Edinburgh,Manchester,21/11/2013,21/11/2015,2:1,Open University,Mathematics
Infrastructure,Business Intelligence,1410,First Name Surname 1410,Birmingham New Street,Manchester,31/12/2012,31/12/2014,2:2,University of Leicester,Politics
Infrastructure,Testing,1411,First Name Surname 1411,Moorgate,Manchester,22/09/2012,22/09/2014,2:2,Bangor University,English
Development (Java),Data Services,1412,First Name Surname 1412,Leeds Centre,Manchester,01/02/2013,01/02/2015,2:2,Coventry University,Business and Management Studies
Testing,Testing,1413,First Name Surname 1413,Oxford Circus,Manchester,28/11/2012,28/11/2014,1,Glasgow Caledonian University,Mathematics
Business Analysis,Cyber Security,1414,First Name Surname 1414,Newcastle,London,27/06/2013,27/06/2015,2:2,University of East Anglia,Economics
PMO,Consulting,1415,First Name Surname 1415,Birmingham New Street,Manchester,22/06/2013,22/06/2015,2:2,London Metropolitan University,Physics and Astronomy
PMO,Testing,1416,First Name Surname 1416,Oxford Circus,Manchester,02/08/2013,02/08/2015,1,University of Huddersfield,Aeronautical Engineering
PMO,Testing,1417,First Name Surname 1417,Moorgate,Manchester,28/11/2013,28/11/2015,2:1,Open University,Biological Sciences
Data Analyst,Data Services,1418,First Name Surname 1418,Newcastle,Manchester,15/03/2013,15/03/2015,2:1,University of Leicester,Electrical and Electronic Engineering
Business Analysis,PMO,1419,First Name Surname 1419,Oxford Circus,Manchester,16/07/2012,16/07/2014,2:1,University of Essex,Computer Science
Business Analysis,Infrastructure,1420,First Name Surname 1420,Moorgate,London,10/11/2011,10/11/2013,2:1,University of Warwick,Business and Management Studies
PMO,Testing,1421,First Name Surname 1421,Birmingham New Street,London,03/06/2013,03/06/2015,2:2,Coventry University,Forensic Computing
PMO,Business Intelligence,1422,First Name Surname 1422,Edinburgh,London,02/08/2013,02/08/2015,3,University of Portsmouth,English
Testing,PMO,1423,First Name Surname 1423,Birmingham New Street,Manchester,12/08/2013,12/08/2015,3,University of Essex,Mechanical Engineering
Data Analyst,Data Services,1424,First Name Surname 1424,Birmingham New Street,London,08/08/2012,08/08/2014,2:1,University of Leicester,Law
Data Analyst,Business Intelligence,1425,First Name Surname 1425,Oxford Circus,London,20/10/2012,20/10/2014,2:1,Loughbourgh University,Chemistry
PMO,Business Analysis,1426,First Name Surname 1426,Moorgate,Manchester,14/11/2012,14/11/2014,1,University of Warwick,Mechanical Engineering
Testing,Business Analysis,1427,First Name Surname 1427,Leeds Centre,London,18/09/2012,18/09/2014,2:1,University of Chester,Computer Science
Business Analysis,PMO,1428,First Name Surname 1428,Leeds Centre,Manchester,25/07/2012,25/07/2014,2:1,London Metropolitan University,Forensic Computing
PMO,Testing,1429,First Name Surname 1429,Birmingham New Street,Manchester,19/10/2013,19/10/2015,2:1,University of Warwick,Computer Science
Application Support,Business Analysis,1430,First Name Surname 1430,Birmingham New Street,Manchester,07/07/2012,07/07/2014,2:1,Coventry University,Economics
Development (.Net),Cyber Security,1431,First Name Surname 1431,Moorgate,London,02/06/2013,02/06/2015,2:1,Cardiff University,Chemistry
Application Support,Testing,1432,First Name Surname 1432,Oxford Circus,Manchester,24/10/2013,24/10/2015,2:1,Manchester Metropolitan University,Computer Science
Development (.Net),Data Services,1433,First Name Surname 1433,Oxford Circus,Manchester,09/09/2012,09/09/2014,2:1,Bangor University,Physics and Astronomy
PMO,Infrastructure,1434,First Name Surname 1434,Newcastle,London,09/07/2012,09/07/2014,2:2,Nottingham Trent University,Mechanical Engineering
Testing,PMO,1435,First Name Surname 1435,Moorgate,Manchester,08/08/2013,08/08/2015,3,University of East Anglia,Economics
Business Analysis,Cyber Security,1436,First Name Surname 1436,Edinburgh,London,09/07/2012,09/07/2014,2:2,Swansea University,Civil Engineering
Application Support,Support,1437,First Name Surname 1437,Moorgate,Manchester,23/11/2012,23/11/2014,2:2,London Metropolitan University,Mechanical Engineering
Development (.Net),Data Services,1438,First Name Surname 1438,Leeds Centre,London,02/09/2012,02/09/2014,2:2,University College London,Chemistry
Testing,Data Services,1439,First Name Surname 1439,Leeds Centre,Manchester,10/04/2013,10/04/2015,2:1,University of East Anglia,Mathematics
Development (Java),Business Intelligence,1440,First Name Surname 1440,Oxford Circus,London,23/12/2013,23/12/2015,1,University of Glasgow,Mathematics
Development (.Net),Testing,1441,First Name Surname 1441,Newcastle,Manchester,13/12/2011,13/12/2013,3,University College London,Business and Management Studies
Infrastructure,Cyber Security,1442,First Name Surname 1442,Newcastle,London,01/10/2012,01/10/2014,2:1,University of Reading,Geography and Environmental Sciences
Development (Java),Business Intelligence,1443,First Name Surname 1443,Edinburgh,London,26/10/2013,26/10/2015,1,University of Nottingham,Robotics
Development (.Net),Testing,1444,First Name Surname 1444,Moorgate,Manchester,15/08/2012,15/08/2014,3,Bangor University,Mechanical Engineering
Application Support,PMO,1445,First Name Surname 1445,Oxford Circus,London,02/10/2012,02/10/2014,2:1,University of Brighton,Computer Science
Business Analysis,Consulting,1446,First Name Surname 1446,Leeds Centre,London,17/07/2012,17/07/2014,2:2,University of Essex,English
Business Analysis,Support,1447,First Name Surname 1447,Leeds Centre,London,24/07/2013,24/07/2015,2:1,Loughbourgh University,Marketing
Development (Java),Business Intelligence,1448,First Name Surname 1448,Leeds Centre,Manchester,30/08/2013,30/08/2015,2:1,University of Huddersfield,Robotics
Business Analysis,Testing,1449,First Name Surname 1449,Edinburgh,London,25/11/2013,25/11/2015,2:1,Cardiff University,Chemical Engineering
Business Analysis,PMO,1450,First Name Surname 1450,Leeds Centre,London,22/10/2013,22/10/2015,2:2,De Montfort University,Accounting and Finance
Development (Java),Support,1451,First Name Surname 1451,Oxford Circus,London,22/11/2013,22/11/2015,3,University of Abertay,Robotics
Business Analysis,Data Services,1452,First Name Surname 1452,Edinburgh,London,08/05/2013,08/05/2015,2:1,Glasgow Caledonian University,Electrical and Electronic Engineering
Data Analyst,Testing,1453,First Name Surname 1453,Leeds Centre,London,23/11/2013,23/11/2015,2:2,University of Leicester,Mechanical Engineering
Testing,Cyber Security,1454,First Name Surname 1454,Moorgate,Manchester,13/09/2012,13/09/2014,3,University of York,Mechanical Engineering
Business Analysis,Data Services,1455,First Name Surname 1455,Leeds Centre,Manchester,12/02/2013,12/02/2015,3,University of York,Accounting and Finance
Infrastructure,Infrastructure,1456,First Name Surname 1456,Leeds Centre,London,03/04/2013,03/04/2015,3,Glasgow Caledonian University,Politics
Infrastructure,Testing,1457,First Name Surname 1457,Leeds Centre,Manchester,07/07/2012,07/07/2014,2:2,Cardiff University,Physics and Astronomy
Business Analysis,Cyber Security,1458,First Name Surname 1458,Birmingham New Street,London,21/08/2012,21/08/2014,2:2,Bangor University,Geography and Environmental Sciences
PMO,Data Services,1459,First Name Surname 1459,Edinburgh,Manchester,11/05/2012,11/05/2014,2:2,Nottingham Trent University,Biological Sciences
PMO,Testing,1460,First Name Surname 1460,Moorgate,Manchester,26/03/2013,26/03/2015,1,University of Brighton,Chemical Engineering
Infrastructure,Business Analysis,1461,First Name Surname 1461,Moorgate,Manchester,29/04/2013,29/04/2015,2:1,University of Nottingham,Mathematics
Infrastructure,Testing,1462,First Name Surname 1462,Oxford Circus,London,15/07/2013,15/07/2015,2:1,University of Liverpool,History
Application Support,Support,1463,First Name Surname 1463,Leeds Centre,Manchester,25/11/2013,25/11/2015,2:1,Coventry University,Physics and Astronomy
Application Support,Consulting,1464,First Name Surname 1464,Leeds Centre,Manchester,14/02/2013,14/02/2015,2:1,University of Brighton,History
Business Analysis,PMO,1465,First Name Surname 1465,Leeds Centre,London,03/10/2011,03/10/2013,2:1,Coventry University,Politics
Testing,Testing,1466,First Name Surname 1466,Birmingham New Street,Manchester,09/05/2013,09/05/2015,1,Coventry University,Economics
Application Support,Data Services,1467,First Name Surname 1467,Edinburgh,London,11/08/2013,11/08/2015,2:1,University College London,Business and Management Studies
Business Analysis,Infrastructure,1468,First Name Surname 1468,Newcastle,Manchester,28/08/2012,28/08/2014,2:1,London School of Economics and Politics,Chemistry
Data Analyst,Cyber Security,1469,First Name Surname 1469,Birmingham New Street,London,20/01/2013,20/01/2015,2:1,University of Leicester,History
Development (.Net),Business Intelligence,1470,First Name Surname 1470,Newcastle,Manchester,24/08/2013,24/08/2015,2:2,University of Sheffield,Electrical and Electronic Engineering
Development (Java),Testing,1471,First Name Surname 1471,Oxford Circus,Manchester,10/03/2013,10/03/2015,2:1,London Metropolitan University,History
Development (Java),Cyber Security,1472,First Name Surname 1472,Moorgate,London,09/09/2013,09/09/2015,3,University of Essex,Robotics
Development (Java),Business Analysis,1473,First Name Surname 1473,Moorgate,London,04/07/2013,04/07/2015,2:1,Manchester Metropolitan University,Electrical and Electronic Engineering
Data Analyst,Business Analysis,1474,First Name Surname 1474,Oxford Circus,London,14/07/2012,14/07/2014,2:1,University of Glasgow,Marketing
Development (Java),Data Services,1475,First Name Surname 1475,Edinburgh,Manchester,25/10/2011,25/10/2013,2:2,University of Glasgow,Computer Science
Development (Java),Consulting,1476,First Name Surname 1476,Oxford Circus,London,23/11/2011,23/11/2013,2:1,Glasgow Caledonian University,Aeronautical Engineering
